comp-workers, implementation, hashTime, groupTime, compareTreeTime, totalExecutionTime
1, Unknown, 0.02628458, N/A, 0.04143842, N/A
2, Unknown, 0.02678550, N/A, 0.05584687, N/A
4, Unknown, 0.02570262, N/A, 0.04198763, N/A
6, Unknown, 0.02641012, N/A, 0.03719104, N/A
7, Unknown, 0.02620512, N/A, 0.03862433, N/A
8, Unknown, 0.02866846, N/A, 0.03703254, N/A
9, Unknown, 0.02605933, N/A, 0.03675567, N/A
10, Unknown, 0.02654404, N/A, 0.03453496, N/A
12, Unknown, 0.02515662, N/A, 0.04155637, N/A
14, Unknown, 0.02647633, N/A, 0.03429696, N/A
16, Unknown, 0.02546413, N/A, 0.04181454, N/A
18, Unknown, 0.02764175, N/A, 0.03734808, N/A
20, Unknown, 0.02556496, N/A, 0.04253371, N/A
24, Unknown, 0.02642346, N/A, 0.03834558, N/A
28, Unknown, 0.02569517, N/A, 0.03861767, N/A
32, Unknown, 0.02721421, N/A, 0.04101271, N/A
36, Unknown, 0.02603663, N/A, 0.04212392, N/A
48, Unknown, 0.02560787, N/A, 0.05031371, N/A
56, Unknown, 0.02638146, N/A, 0.04995446, N/A
64, Unknown, 0.02614800, N/A, 0.05237017, N/A
100, Unknown, 0.02561237, N/A, 0.06949183, N/A
128, Unknown, 0.02706717, N/A, 0.07367017, N/A
